15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,10000
-0,57,13500
-0,63,30500
-0,69,13000
-0,75,31000
-0,81,22000
-0,870000000000001,43000
-0,93,30000
-0,990000000000001,71500
-1,05,51500
-1,11,101000
-1,17,90500
-1,23,235000
-1,29,219000
-1,35,584000
-1,41,417500
-1,47,1272000
-1,53,650500
-1,59,1275000
-1,65,589000
-1,71,693000
-1,77,304500
-1,83,315000
-1,89,107000
-1,95,124500
-2,01,57000
-2,07,17500
-2,13,15000
-2,19,18000
-2,25,15000
-2,31,6500
-2,37,6500
-2,43,12000
-2,49,9500
-2,55,6500
-2,61,7000
-2,67,14000
-2,73,17000
-2,79,10000
-2,85,10500
-2,91,32500
-2,97,37000
-3,03,26500
-3,09,19500
-3,15,52000
-3,21,26500
-3,27,68500
-3,33,24000
-3,39,57000
-3,45,19500
-3,51,39500
-3,57,16500
-3,63,24000
-3,69,11500
-3,75,15000
-3,81,9500
-3,87,2000
-3,93,5500
-3,99,3000
-4,05,1500
-4,11,1000
-4,17,1000
-4,23,0
-4,29,0
-4,35,1500
-4,41,500
-4,47,500
-4,53,1500
-4,59,1000
-4,65,4000
-4,71,1500
-4,77,500
-4,83,4000
-4,89,1500
-4,95,2000
-5,01,3500
-5,07,2000
-5,13,3000
-5,19,500
-5,25,0
-5,31,0
-5,37,0
-5,43,0
-5,49,0
-5,55,0
-5,61,0
-5,67,0
-5,73,0
-5,79,0
-5,85,0
-5,91,0
-5,97,500
-6,03,0
-6,09,500
-6,15,0
-6,21,0
-6,27,0
-6,33,0
-6,39,0
-6,45,0
-6,51,0
-6,57,0
-6,63,0
-6,69,0
-6,75,0
-6,81,0
-6,87,0
-6,93,0
-6,99,0
-7,05,0
-7,11,0
-7,17,0
-7,23,0
-7,29,0
-7,35,0
-7,41,0
-7,47,0
-7,53,0
-7,59,0
-7,65,0
-7,71,0
-7,77,0
-7,83,0
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
