15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,9000
-0,57,6500
-0,63,17500
-0,69,5500
-0,75,16000
-0,81,8500
-0,870000000000001,16500
-0,93,9500
-0,990000000000001,17500
-1,05,15500
-1,11,19500
-1,17,15500
-1,23,37000
-1,29,17500
-1,35,38000
-1,41,19000
-1,47,57000
-1,53,31000
-1,59,61000
-1,65,47000
-1,71,97500
-1,77,86500
-1,83,184000
-1,89,115000
-1,95,352000
-2,01,561000
-2,07,376000
-2,13,624500
-2,19,1496500
-2,25,1950500
-2,31,1118000
-2,37,956500
-2,43,2111000
-2,49,1446500
-2,55,675500
-2,61,433500
-2,67,716500
-2,73,347000
-2,79,108000
-2,85,88500
-2,91,95000
-2,97,43000
-3,03,17000
-3,09,14500
-3,15,14000
-3,21,7000
-3,27,6500
-3,33,3500
-3,39,5000
-3,45,1000
-3,51,5500
-3,57,4500
-3,63,5500
-3,69,4000
-3,75,7000
-3,81,7500
-3,87,5000
-3,93,500
-3,99,6500
-4,05,11500
-4,11,5500
-4,17,13000
-4,23,8000
-4,29,9000
-4,35,24000
-4,41,18000
-4,47,40000
-4,53,56000
-4,59,30000
-4,65,72500
-4,71,35000
-4,77,42500
-4,83,93000
-4,89,42000
-4,95,61000
-5,01,53000
-5,07,26000
-5,13,21500
-5,19,9000
-5,25,7000
-5,31,8500
-5,37,2500
-5,43,1000
-5,49,500
-5,55,0
-5,61,1000
-5,67,500
-5,73,0
-5,79,0
-5,85,0
-5,91,0
-5,97,1000
-6,03,500
-6,09,3000
-6,15,1000
-6,21,0
-6,27,2000
-6,33,3500
-6,39,2000
-6,45,1500
-6,51,4000
-6,57,2000
-6,63,1500
-6,69,500
-6,75,1000
-6,81,0
-6,87,0
-6,93,0
-6,99,0
-7,05,0
-7,11,0
-7,17,0
-7,23,0
-7,29,0
-7,35,0
-7,41,500
-7,47,0
-7,53,0
-7,59,0
-7,65,500
-7,71,0
-7,77,0
-7,83,0
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
